PersonID	FirstName	FamilyName	Title	Sex	YoB	YoD	BuildingType	BuildingName	BuildingDescr	Location	County	Cost	BuiltDate	InternetLink	Ownership
2146639903	Ralph	Willett		M	1719.0	1795.0	Country house	Merley House, Canford Magna, Dorset	Built by Ralph Willett c. 1751, extended by him with the addition of two wings c. 1772 which were later demolished.	Canford Magna	Dorset			http://www.merleyhouseevents.co.uk/history-of-merley-house-dorset/	Private - hotel
2146644485	William	Codrington	Sir	M	1719.0	1792.0	Gardens	Dodington Park	Major Capability Brown landscaping project, undertaken 1764-7 for Sir William Codrington 2nd bart.	Dodington	Gloucestershire			http://www.historicengland.org.uk/listing/the-list/list-entry/1000566	Private owners
2146633097	William	Innes		M	1719.0	1795.0	Plaque	Joseph Innes	Memorial to Joseph Innes, nephew of William Innes, placed in the church of St Mary the Virgin in Lewisham by William Innes c. 1779. Willaim Innes also has a monument tin the church as he requested in his will.	St Mary the Virgin, Lewisham High Street, London			1779.0	http://www.lewishamparish.com/interior3.html	
2146665963	Benjamin	Kenton		M	1719.0	1800.0	Street	Kenton Street	"Bloomsbury street named after Benjamin Kenton, developed 1806-9 after his death. 

https://www.ucl.ac.uk/bloomsbury-project/streets/kenton_street.htm"		Middlesex			https://www.ucl.ac.uk/bloomsbury-project/streets/kenton_street.htm	
2146638189	Philip	Dehany		M	1720.0	1809.0	Country house	Kempshott House	18thC brick house, built c. 1773 by Philip Dehany, later used by the Prince Regent as a shooting lodge 1788-1795 after Dehany's sale of the property in 1787.		Hampshire		1773.0	http://kempshottmanor.net/1-Kempshott-Park.php; http://research.hgt.org.uk/item/kempshott-park/	
2146644869	Robert Fullerton	Udny		M	1722.0	1802.0	Country house	Udny House	"Probably purchased and renamed, but with addition by Robert Udny of a picture gallery by Robert and John Adam c. 1790, see <a href=""http://www.scottisharchitects.org.uk/building_full.php?id=420851"">http://www.scottisharchitects.org.uk/building_full.php?id=420851</a> [accessed 05/10/2020] and <a href=""http://www.twickenham-museum.org.uk/detail.php?aid=67&amp;ctid=1&amp;cid=12"">http://www.twickenham-museum.org.uk/detail.php?aid=67&amp;ctid=1&amp;cid=12</a> [accessed 05/10/2020]."	Teddington	Middlesex			http://www.scottisharchitects.org.uk/building_full.php?id=420851	
2146644869	Robert Fullerton	Udny		M	1722.0	1802.0	Gardens	Udney Park Playing Fields	The old grounds of Udney House (demolished between the 1890s and 1910s) now called Udney Park Playing Fields, with Udney Park Road to the west.	Udney Park Road	Middlesex				
2146643145	John	Brathwaite		M	1722.0	1800.0	Monument	The Brathwaite Memorial	"Memorial to John Brathwaite in St Martin's Church, Epsom, designed by John Flaxman at the cost of 180 guineas in 1801. The inscription reportedly reads: 'Sacred to the Memory of JOHN BRATHWAITE ESQ., the course of whose whole life exhibited a singular and uniform pattern of universal benevolence for his only object was to do good. The rectitude of his mind corresponded with the purity of his heart; correct in the conception of every religious and moral duty, he was steady in the practice of them. In every situation and under all circumstances he was invariably the same man, an affectionate relation, a sincere friend, a pious Christian, mild in judging, just and generous to all, moderate only in those gratifications which respected himself. The virtuous energies of his mind comprehended all those humanities and sympathies of which our nature in its best state is susceptible. Born in the island of Barbadoes, he was warmly attached to that island, which he served in a public character, and which he loved as a father. He lived, beloved and respected, revered.
He died the 21st of September, 1800, in the 78th year of his age, lamented by all who had the advantage and happiness of knowing him. Such was the man whose virtues this marble attempts thus imperfectly to record. It was erected by the directions of three nieces as a tribute to the memory of a most dear relation, whose living they loved and honoured, and whose death they will never cease to deplore, consoling themselves at the same time with the full assurance that he is removed to a blessed immortality where righteousness will have its reward.(Flaxman)'"	St Martins' Church, Epsom	Surrey		1801.0	http://www.epsomandewellhistoryexplorer.org.uk/BrathwaiteJ.html	
2146632429	Robert	Melville		M	1723.0	1809.0	Country house	Craigton	Country house rebuilt by Robert Melville and later known as Mount Melville when occupied by John Whyte Melville (q.v.), the son of Robert Melville's heir John Whyte Melville of Bennochy, who extended the site.		Fife				
2146652681	Francis	Beckford		M	1723.0	1768.0	Country house	Penders or Ashtead Lodge	Reportedly built by Francis Beckford c. 1765. 'When Francis Beckford, the first from the Jamaican branch, came to Ashtead on the death in 1763 of Dorothea, the widow of Thomas, a new mansion was built at Penders at the west boundary of the village. The pump in the basement carries the date 1765.' The house was purchased by Thomas Mainwaring, the Beckford family lawyer, who left it to his wife Penelope in a codicil to his will dated 1787.	Ashtead	Surrey			http://www.ldlhsarchive.co.uk/proceedings/VOL_4_NO_5_1981.pdf	
402668261	James	Brebner Gordon		M	1724.0	1807.0	Country house	Moor Place	Country house in Hertfordshire, built 1775-1779 by Robert Mitchell for James Brebner Gordon on an existing Elizabethan manor. Extant, privately owned.	Much Hadham	Hertfordshire		1779.0	https://historicengland.org.uk/listing/the-list/list-entry/1289132	Private owners
2146635641	Richard	Watt		M	1724.0	1796.0	Country house	Speke Hall	Tudor house, bought by Richard Watt I in 1795, owned and restored by Watt family members until 1921, and then held by trustees until 1942. Now National Trust.	The Walk, Liverpool	Lancashire			http://www.nationaltrust.org.uk/speke-hall-garden-and-estate	National Trust
2146645201	Richard	Wilson		M	1725.0	1778.0	Country house	Shirley House	Mid-Georgian house in Southampton, built c. 1760. Richard Wilson was the first recorded occupant and is believed to have built the house.	Southampton	Hampshire		1760.0	http://sotonopedia.wikidot.com/page-browse:shirley-house	
2146644185	Charles	Inman		M	1725.0	1767.0	Town house	Reform Club	Since c. 1881 the Reform Club in Lancaster, originally built as his home by Robert Inman, the son of Charles Inman	1Great John Street, Lancaster	Lancashire				Council?
2146665579	James	Seton	Vice Admiral	M	1726.0	1802.0	Country house	Brook Heath house	Country house in Fordingbridge Hampshire, bought and remodelled by Vice Admiral James Seton	Fordingbridge	Hampshire			http://www2.thesetonfamily.com:8080/gallery/Brookheath_House.htm	
2146634480	John Cope	Freeman		M	1726.0	1788.0	Country house	Langley House, Abbots Langley	Georgian country house, reportedly built by John Cope Freeman, dated variously to the 1750s and 1770s. Now Breakspear House or Breakspear Hospital.	Abbots Langley	Hertfordshire			"<a href=""http://www.hertfordshire-genealogy.co.uk/data/places/places-a/abbots-langley/abbots-langley-langley-house.htm"">http://www.hertfordshire-genealogy.co.uk/data/places/places-a/abbots-langley/abbots-langley-langley-house.htm</a>"	
2146644111	Nathaniel	Webb		M	1726.0	1786.0	Public building	Market House	Market building in the centre of Taunton, built c. 1772. Nathaniel Webb gave £2000 to build it after receiving the support of the local tradesmen in the Market House Society in his election as MP for the town in 1768.	Fore Street, Taunton	Somerset	�2000	1768.0	http://www.tauntondeane.gov.uk/irj/public/news/directory/articles?rid=/wpccontent/Sites/TDBC/Web%20Pages/News/Articles/New%20lease%20of%20life%20for%20Market%20House	Council
2146644383	William	Lindow		M	1726.0	1786.0	Town house	One Queen Square	Lancaster townhouse designed and furnished by Richard Gillow for William Lindow 1772-1773.	Queen Square, Lancaster	Lancashire	94500	1772.0	http://www.research.lancs.ac.uk/portal/en/publications/number-one-queen-square--building-and-furnishing-william-lindows-house-17721773(e2c2f9f3-fa95-4c36-b93f-7351af7d8fd4).html	
2146644085	Thomas	Stapleton	Sir	M	1727.0	1781.0	Country house	Greys Court	Remodelling of the interiors of Greys Court, the Tudor house that passed by marriage to Sir William Stapleton 4th bart., by Sir Thomas Stapleton c. 1750. Held by the Stapleton family 1724-1935. Now National Trust.	Rotherfield Greys, Henley-on-Thames	Oxfordshire			http://www.nationaltrustcollections.org.uk/place/greys-court	National Trust
2146636527	Valentine	Morris		M	1727.0	1789.0	Country house	Piercefield	"Estate near Chepstow. Soane's Piercefield House was built 1785-1793 in a brief interval between ownership by the Morris family (1740-1784; inherited by Valentine Morris in 1753) and Nathaniel Wells (q.v.) who bough the estate in 1802.  

Simon D. Smith, 'Slavery's Heritage Footprint: links between British country houses and St Vincent plantations, 1814-1834', in Madge Dresser & Andrew Hann (eds.) Slavery and the British Country House (2013) pp. 57-68, at p. 62."	Chepstow	Monmouthshire				
2146650583	Philip Jennings	Clerke	Sir	M	1728.0	1788.0	Country house	Fox Lease, Lyndhurst	Fox Lease, a country house at Lyndhurst Hampshire. 'Sir Phillip considerably enlarged the house in the Gothick style, and was probably responsible for forming the landscape park and the lake, which already appears on a map of 1791 (Milne). That same year the house and grounds were sold to Mr Isaac Pickering.'	Lyndhurst	Hampshire			http://research.hgt.org.uk/item/foxlease/	
2146649387	James Modyford	Heywood		M	1729.0	1798.0	Country house	Maristow House	Large country house overlooking the River Tavy, reportedly built in 1760 on an existing earlier house, and refronted in 1907-1909. If the date is correct, then the building was done by James Modyford Heywood. The house was sold at his death to Sir Manasseh Lopes.	Bickleigh	Devon		1760.0	http://www.britishlistedbuildings.co.uk/en-99115-maristow-house-bickleigh-devon	Private owners
2146640519	George	Colebrooke	Sir	M	1729.0	1809.0	Gardens	Gatton Park	"Landscaping by Capability Brown for 'Sr. George Colebook Bart.'  'An extensive commission involving ""several journeys"" and the expenditure of £3,055 between 1762-8. Brown noted that he supplied a plan for the ""great water menagerie"". Part of the landscape remains, but the house is occupied by a school', Dorothy Stroud Capability Brown (London, 1975) p. 226."	Reigate	Surrey				
2146645503	Crisp	Molineux		M	1730.0	1792.0	Country house	Garboldisham Hall, Norfolk	"Post-mediaeval Great House, bought by Crisp Molineux shortly after his arrival from St Kitts in 1754, modified by Crisp Molineux, and demolished in 1955 after a fire.  Some images of Garboldisham Old Hall can be seen <a href=""http://www.lostheritage.org.uk/houses/lh_norfolk_garboldishamoldhall_info_gallery.html"" target=""_blank"">here</a>."		Norfolk			http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-951-1/dissemination/pdf/chrisbir1-59981_1.pdf	
2146649397	Edward	Morant		M	1730.0	1791.0	Estate	Brockenhurst Park	Country estate at Brockenhurst in the New Forest, purchased by Edward Morant 1770-1771 and extensively landscaped by him. The house was remodelled by John Morant IV (1825-1899) as a French chateau to designs by Thomas Henry Wyatt in the 1860s. Wyatt's Victorian wing was demolished in 1936 and the house itself demolished in 1958, and replaced with a modern house.	Brockenhurst	Hampshire			https://historicengland.org.uk/listing/the-list/list-entry/1000499	
2146640693	William	Gemmell		M	1732.0	1820.0	Country house	Crofton House, Titchfield	Yellow brick country house outside Titchfield in Hampshire, purchased by William Gemmell c. 1806 and sold after his death in 1820 to Thomas Naghten (q.v.)	Titchfield	Hampshire			http://jsbookreader.blogspot.co.uk/2013/12/crofton-house-titchfield.html	
2146645465	Ninian	Home		M	1732.0	1795.0	Country house	Paxton House	Interiors commissioned by Ninian Home 1774-1791 from Thomas Chippendale, in a neo-Palladian house he had bought in 1773 from Patrick Home.	Paxton House, Berwick-upon-Tweed	Berwickshire			http://paxtonhouse.co.uk/history-collections/	Trustees
2146632301	John St Leger	Douglas		M	1732.0	1783.0	Gardens	Springfield Place	John St Leger Douglas bought Springfield Place (which had been rebuilt by a previous owner), then 'laid out the adjoining grounds with elegance and taste, and rendered it a commodious and handsome country residence'. [Thomas Wright, The History and Topography of Essex (1836) Vol. I p. 99.]	nr Chelmsford	Essex			http://www.chelmsford.gov.uk/sites/default/files/documents/files/Chelmsford%20-%20Springfield%20Green.pdf	
2146638745	Julines	Hering	Captain	M	1732.0	1797.0	Plaque	Plaque to Julines Hering of Heybridge Hall	'Elegant marble wall plaque' to Julines Hering of Heybridge Hall c. 1775,  in the Church of St Andrew Heybridge. The [Rev.] Julines Hering memorialised in the plaque was the uncle of Capt. Julines Hering, who inherited Heybridge Hall under the will of Rev. Julines Hering subject to the life interest of Rev. Julines' brother Daniel Hering.	St Andrew Heybridge, Maldon	Essex		1775.0	https://historicengland.org.uk/listing/the-list/list-entry/1256311	
2146651619	Robert	Seaman		M	1733.0	1821.0	Urban Development	Seaman Place	In his will made in 1816 Robert Seaman referred to the three houses he had built at Hounslow, one in the occupation of 'Miss Lepipre.' Elizabeth Lepipre 'of Seaman Place, Hounslow' appeared as the owner of uncollected dividends on bank stock dating to Jan. 1816 [The Names and Descriptions of the Proprietors of Unclaimed Dividends on Bank Stock 1823].	Hounslow	Middlesex				
2146640525	Clement	Tudway		M	1734.0	1815.0	Gardens	The Combe	Walled pleasure ground of 13 acres, acquired over time by Clement Tudway beginning in the 1780s and 1790s and probably completed by John Paine Tudway by 1829.  Later attached to Milton Lodge, which came to the family in the later 19thC.	Wells	Somerset			https://historicengland.org.uk/listing/the-list/list-entry/1001277	
2146652561	Richard Muilman Trench	Chiswell		M	1735.0	1797.0	Church	Debden Church	Modified in the late 18thC by Richard Muilman Trench Chiswell.	Debden	Essex			https://www.debdenchurch.org.uk/history/	
2146636918	John	Trevelyan	Sir	M	1735.0	1828.0	Country house	Wallington Hall	Sir John Trevelyan inherited Wallington Hall from his grandfather Sir Walter Coverley (1707-1777) who largely rebuilt the property.	near Morpeth	Northumberland				National Trust
2146644437	George	Taylor		M	1736.0	1814.0	Country house	Carshalton Park House	Country house, reportedly built by George Taylor 1784-1785.	Carshalton Park	Surrey		1785.0		
2146639585	James Langford	Nibbs		M	1738.0	1795.0	Country house	Beauchamp House	Country house in Washfield, Tiverton Devon variously described as Beauchamp Hall or Beauchamp House which under his will (as Beauchamp House) James Langford Nibbs left in 1795 to his wife Barbara for life and then to be sold.  Probably bought by him rather than built, but the history of the house has not been traced.	Washfield, Tiverton	Devon				Private owners
2146640651	John	Price		M	1738.0	1797.0	Country house	Chi-owne	A 'pretty retreat' in the parish of Paul near Penzance built by John Price of Penzance the younger, possibly finished by his son Rose Price. Nearby and extant (at least in 1970) was a sugar loaf monument also built by John Price.	Paul	Cornwall				
2146648565	Abraham	Rawlinson		M	1738.0	1803.0	Country house	Ellel House	Ellel House, confidently described in two sets of undated estate agents particulars as built c. 1780 for Abraham Rawlinson to Robert Adam designs. This has not been verified elsewhere.	Conder Green Road, near Lancaster	Lancashire		1780.0	http://www.mswhewetsons.co.uk/cmsfiles/Image/property/2001/M110_01973_F010a_LAM_30.pdf	Private owners
2146652071	Moses	Benson		M	1738.0	1806.0	Country house	Lutwyche Hall	Estate and house purchased in 1807 by the trustees of Moses Benson and held in the Benson family for more than a century, during which the house was remodelled with a Jacobean-style front by S. Pountney Smith (1851).	Easthope	Shropshire			http://www.british-history.ac.uk/vch/salop/vol10/pp52-72	
2146637316	Neill	Malcolm		M	1738.0	1802.0	Country house	Poltalloch House	"Country house on the family estate in Argyll, remodelled by Neill Malcolm 11th 'along Jamaican colonial lines.' 

Matthew Kilburn, Malcolm family of Poltalloch (per. 1750-1857), Oxford Dictionary of National Biography, Oxford University Press, Sept 2016 [http://www.oxforddnb.com/view/article/107421, accessed 18 Nov 2016]"	Poltalloch	Argyll				
2146634272	John	Vassall		M	1738.0	1797.0	Estate	Vassall-Craigie-Longfellow House	Georgian mansion in Cambridge, Massachusetts, built c. 1759 by John Vassall II as a young man. Later the house of Longfellow.				1759.0	http://cambridgehistory.org/discover/Cambridge-Revolution/Longfellow%20House.html	
2146637316	Neill	Malcolm		M	1738.0	1802.0	Infrastructure	Crinan Canal	"Canal in the Highlands between Crinan and Ardrishaig. Neill Malcolm was one of the Committee drafting the legislation that enabled the building of the canal between 1794-1801. 
Matthew Kilburn, Malcolm family of Poltalloch (per. 1750-1857), Oxford Dictionary of National Biography, Oxford University Press, Sept 2016 [http://www.oxforddnb.com/view/article/107421, accessed 18 Nov 2016]"		Argyll		1801.0	https://www.scottishcanals.co.uk/heritage/crinan-canal/	
2146642371	Thomas Pepper	Thompson		M	1738.0	1820.0	Monument	Kirkhead Tower	Summerhouse or folly on Humphrey Head. Little appears to be known about the history of the building, said to have first appeared on maps c. 1825. The Humphrey Head 'estate' was bequeathed by Thomas Pepper Thompson in his will dated1819/20 (proved in 1823). This is only a tentative connection to a 'legacy'.	Humphrey Head	Cumberland				
2146651445	John	Smith		M	1739.0	1816.0	Country house	Craigend Castle	'Towards the end of last century, John Smith, the then laird, who was a West India proprietor and merchant in Glasgow, built a plain square house in lieu of the old residence of his forefathers; and soon after his death, James Smith, his son, built the present house, which includes part of the old one, from plans furnished by his cousin, James Smith, then younger of Jordanhill, and there has been no alteration since. The property of Craigend has been added to by purchases at various times. James Smith died in 1838, and was succeeded by his son John Smith, who sold the estate in 1851.' Old Country Houses of the Old Glasgow Gentry XXVI Craigend Castle...	Strathblane	Stirlingshire				
2146633325	John	Henderson	Colonel	M	1740.0	1811.0	Country house	Foswell Bank	"Late 18thC house 'built for Henderson a retired planter probably to his own designs....An estate map of 
1829 for the then owner. John Piercy Henderson shows plantation house colonnade verandahs at ground and 1st floor between the two projecting gables.'"	Auchterarder	Perthshire			http://www.britishlistedbuildings.co.uk/sc-5817-foswell-auchterarder#.VuWlOftFBdg	
2146646281	John Pretor	Pinney		M	1740.0	1818.0	Country house	Racedown House	"'Racedown, house nearly 2¾ m. W.S.W. of the parish church [of Broadwindsor, Dorset], is of three storeys; the walls are of local brick in Flemish bond with blue headers and ashlar dressings and the roofs are covered with slates. The original house was built by John Pretor Pinney c. 1785, and the wings were added subsequently; the porch is modern.

The original E. front is symmetrical; the porch is flanked by sash windows consisting of a wide middle light and narrow side lights in a Roman Doric frame, with fluted frieze with oval medallions and cornice. At first-floor level is a flat string. The windows on first and second floor have moulded architraves, that over the entrance has in addition a plain frieze and cornice. There is a stone cornice at eaves-level returning round the building and a parapet-wall. The windows in the remaining fronts are similar to those on the upper floors of the E. elevation, with the exception of some on the second floor which are round, with moulded architraves and four keystones. There are broad panelled chimney-stacks on the N. and S. ends.

Inside the building there are original plaster dentil-cornices and some fittings of the period, including, in the hall, fluted pilasters and two niches with shell-heads and, in the S. room, a fireplace and overmantel and a similar niche reset.'"	Broadwindsor	Dorset		1785.0	http://www.british-history.ac.uk/rchme/dorset/vol1/pp52-56	
2146645519	William McDowall	Colhoun		M	1740.0	1821.0	Country house	Wretham Hall	"Apparently built by William McDowall Colhoun: 'William Colhoun purchased part of the manor of West Wretham in 1788 and the Eton College lands at East Wretham were subsequently leased to him. It was he who had developed the hall and Fadens map of 1797 shows the hall as “New House”. It should be noted that on the same map the Manor is referred to as the hall, which confuses matters somewhat. A document produced in 1793 shows that William Colhoun owned all the houses in West Wretham which he susbsequently pulled down, rehousing the parishioners in East Wretham. At this point Eton College were upset that Colhoun had completely altered the face of the country by diverting roads and planting trees without permission. In 1801 it was reported that Kings College got equally upset by all the changes. Worse was to follow as Colhoun was reported to have ignored all the letters sent to him by both colleges and in 1802 an attorney took possession of the manor, the heavily indebted Colhoun having fled to South Africa. Both colleges met in November 1802 putting down boundary stones to redefine their lands.' The hall no longer stands. See 'The Wretham Estate (East and West Wretham)', <a href=""http://www.breckslandscape.co.uk/caseWretham.php"">http://www.breckslandscape.co.uk/caseWretham.php</a> [accessed 19/10/2018]."	Wretham	Norfolk				
2146646281	John Pretor	Pinney		M	1740.0	1818.0	Town house	The Georgian House	Townhouse and mercantile premises, completed in 1790 at 7 Great George Street, Bristol and now the Georgian House Museum.	7 Great George Street, Bristol			1790.0	https://www.bristolmuseums.org.uk/georgian-house-museum/	Council
2146644147	John	Trevanion		M	1740.0	1810.0	Town house	Trevanion House	'Trevanion Street ran from St. James’s Street to Liverpool Street and dates from at least 1782. John Trevanion was not a Dovorian, but lived here many years, became a Freeman and was MP for Dover from 1774 until 1803. He died in 1810. His town house, Trevanion House, was in this area. For 50 years he maintained at his own expense a school for 50 poor boys in Council House Street. The street was closed in 1959 for redevelopment.'	Trevanion Street, Dover	Kent			http://www.doversociety.org.uk/history-scrapbook/dover-streets-n-z	
2146633325	John	Henderson	Colonel	M	1740.0	1811.0	Urban Development	Port Henderson, St Catherine, Jamaica	'This port was named after the owner Colonel John Henderson of the militia who was responsible for its development. It became an important town/port for the English as the depth of the water allowed vessels to come much nearer to the wharf. Henderson built warehouses and shops from which he was paid wharfage fees and port charges. Under his ownership a mineral spring was discovered. He cut a channel through the hillside so that the waters of the spring would be distributed to the rest of the town. For a short while this was considered as a form of tourism for Port Henderson. It became a fashionable spa and health resort with a small bath house erected over the springs. This venture did not continue very long as the underground source of the water shifted. Nevertheless, it is noted that in the mid 18th century, Port Henderson had become the principal port for Spanish Town.'	St Catherine, Jamaica				http://www.nlj.gov.jm/history-notes/History%20of%20Portmore%20Final.pdf	
2146644797	Patrick	Blake	Sir	M	1742.0	1784.0	Country house	Langham Hall, Langham	Grade II* country house; the Langham estate was purchased c. 1760 by Sir Patrick Blake 1st bart.	Bury St Edmunds	Suffolk			http://www.britishlistedbuildings.co.uk/en-281762-langham-hall-langham-suffolk#.VlNBcPtFBdg	Private owners
2146633217	John	Mill		M	1742.0	1821.0	Country house	Noranside	House at Fearn in Forfarshire, built by John Mill, who was living there c. 1813 (Nicholas Carlise, Topographical Dictionary of Scotland, Vol. I 1813). F. H. Groome's Ordnance Gazetteer (1882-1884) says that the house was built by the son of the John Mill who had acquired the estate in 1766. Historic Environment Scotland says: 'Noranside House was built for John Mill, a London merchant, who had acquired the estate of Fearn from the Carnegies of Southesk in 1766. His son, John Mill, extended the house and improved the estate in the early-mid 19th century with the addition of a stableblock to the South West and Gardener's House and Walled Garden to the North West.'		Forfarshire			http://portal.historicenvironment.scot/designation/LB12330	
